NFC South,,,,,,,
Teams,Wins,Starting QBR ,Off Rating,Def Rating,Coach Return,Staff Return,Sell Out Rate
Tampa Bay Buccaneers,13,102.1,61.3,80.5,N,Y,99.3
New Orleans Saints,9,95.6,52.8,81.3,N,Y,94.9
Atlanta Falcons,7,90.4,55,78.6,Y,N,90.1
Carolina Panthers,5,68.2,43,82,Y,N,97.5
