TEAMS,DIV,TEAM ID
Arizona,NFC,NFC001
Atlanta,NFC,NFC002
Carolina,NFC,NFC003
Chicago,NFC,NFC004
Dallas,NFC,NFC005
Detroit,NFC,NFC006
Green Bay,NFC,NFC007
Los Angeles Rams ,NFC,NFC008
Minnesota,NFC,NFC009
New Orleans,NFC,NFC010
NY Giants,NFC,NFC011
Philadelphia,NFC,NFC012
San Francisco,NFC,NFC013
Seattle,NFC,NFC014
Tampa Bay,NFC,NFC015
Washington,NFC,NFC016
